name,heuristic_mae,benchmark1_mae,benchmark2_mae,model_mae,residual_model_mae
initial_test_model_train_1_mse_un_normed_26,0.0022785888717288,0.17706834,0.065506816,0.0018053363,0.0131062043786263
initial_test_model_train_1_mae_un_normed_26,0.0022785888717288,0.034372505,0.19239059,0.0012089811,0.0108256550542878
initial_test_model_train_1_mse_auto_un_normed_26,0.0022785888717288,0.09283428,0.14614823,0.0016407528,0.0121898610401978
initial_test_model_train_1_mae_auto_un_normed_26,0.0022785888717288,0.04104698,0.073801585,0.0012650765,0.0114737847487118
initial_test_model_train_1_mse_weighted_un_normed_26,0.0022785888717288,0.049467638,0.10221555,0.0013220084,0.0110205996528985
initial_test_model_train_1_mae_weighted_un_normed_26,0.0022785888717288,0.094178386,0.046659555,0.0012358107,0.0111366017744339
initial_test_model_train_1_mse_un_normed_292,0.0024398706087699,0.06716451,0.022859398,0.0023319009,0.0167536369127991
initial_test_model_train_1_mae_un_normed_292,0.0024398706087699,0.0480997,0.027595503,0.0013804316,0.0066861019789543
initial_test_model_train_1_mse_auto_un_normed_292,0.0024398706087699,0.031091763,0.014013137,0.0017122391,0.0141857316170295
initial_test_model_train_1_mae_auto_un_normed_292,0.0024398706087699,0.045181967,0.014117654,0.001314322,0.0078721977852273
initial_test_model_train_1_mse_weighted_un_normed_292,0.0024398706087699,0.027381152,0.035884462,0.0013841033,0.007006884198725
initial_test_model_train_1_mae_weighted_un_normed_292,0.0024398706087699,0.038767345,0.031516783,0.001399385,0.0068956770554227
initial_test_model_train_1_mse_un_normed_709,0.0033332953612009,0.003979011,0.028122649,0.0031228988,0.0270364755959635
initial_test_model_train_1_mae_un_normed_709,0.0033332953612009,0.061910894,0.014540986,0.0018932822,0.0153214776347187
initial_test_model_train_1_mse_auto_un_normed_709,0.0033332953612009,0.023917101,0.033802394,0.002778097,0.0257706127570231
initial_test_model_train_1_mae_auto_un_normed_709,0.0033332953612009,0.080488764,0.02987295,0.0018895979,0.0144089194518597
initial_test_model_train_1_mse_weighted_un_normed_709,0.0033332953612009,0.046321664,0.01079995,0.0021118089,0.0164113486446882
initial_test_model_train_1_mae_weighted_un_normed_709,0.0033332953612009,0.09928147,0.06083068,0.0018773065,0.0150757752051784
initial_test_model_train_1_mse_un_normed_819,0.0025511717948913,0.02019891,0.017245296,0.0022953874,0.0184069729191917
initial_test_model_train_1_mae_un_normed_819,0.0025511717948913,0.008949795,0.017924357,0.0015277565,0.011117033966503
initial_test_model_train_1_mse_auto_un_normed_819,0.0025511717948913,0.01661748,0.023324046,0.0022727137,0.018077825765121
initial_test_model_train_1_mae_auto_un_normed_819,0.0025511717948913,0.01921038,0.026371276,0.0015932783,0.0133012041965352
initial_test_model_train_1_mse_weighted_un_normed_819,0.0025511717948913,0.02396031,0.017433552,0.0014428322,0.0105735227800143
initial_test_model_train_1_mae_weighted_un_normed_819,0.0025511717948913,0.05570639,0.033623654,0.001536619,0.0111743186622935
initial_test_model_train_1_mse_all_normed_equal_26,0.0022785888717288,81.6289,106.62991,44.61915,648.4592096695557
initial_test_model_train_1_mae_all_normed_equal_26,0.0022785888717288,76.30707,93.465675,0.0026778064,0.0248079531963496
initial_test_model_train_1_mse_auto_all_normed_equal_26,0.0022785888717288,64.98445,126.38743,0.021507155,0.2139894162051867
initial_test_model_train_1_mae_auto_all_normed_equal_26,0.0022785888717288,79.09722,77.600685,1.4654297,14.109379338852689
initial_test_model_train_1_mse_weighted_all_normed_equal_26,0.0022785888717288,78.76948,111.990715,32.265385,379.1574546886495
initial_test_model_train_1_mae_weighted_all_normed_equal_26,0.0022785888717288,79.66537,82.44401,0.035006918,0.3501222361062018
initial_test_model_train_1_mse_all_normed_equal_292,0.0024398706087699,5.294276,51.672085,0.27403486,3.443380059552593
initial_test_model_train_1_mae_all_normed_equal_292,0.0024398706087699,2.2403786,45.37056,0.0031914944,0.0275604742482328
initial_test_model_train_1_mse_auto_all_normed_equal_292,0.0024398706087699,1.165443,18.272247,0.3987085,5.0344507139570585
initial_test_model_train_1_mae_auto_all_normed_equal_292,0.0024398706087699,4.5860133,38.80494,4.971159,164.46678339545505
initial_test_model_train_1_mse_weighted_all_normed_equal_292,0.0024398706087699,2.2612896,28.59477,0.006996757,0.0793268250635183
initial_test_model_train_1_mae_weighted_all_normed_equal_292,0.0024398706087699,5.1971273,29.700113,0.0015834557,0.0096737847628117
initial_test_model_train_1_mse_all_normed_equal_709,0.0033332953612009,11.032747,34.110615,0.09940721,1.2862855116607803
initial_test_model_train_1_mae_all_normed_equal_709,0.0033332953612009,9.838847,34.00307,0.0037384098,0.0344465638442955
initial_test_model_train_1_mse_auto_all_normed_equal_709,0.0033332953612009,17.928743,25.371922,2.2448635,31.298829385157205
initial_test_model_train_1_mae_auto_all_normed_equal_709,0.0033332953612009,3.1270287,20.396587,2.7208412,38.8029701708486
initial_test_model_train_1_mse_weighted_all_normed_equal_709,0.0033332953612009,15.926678,27.488775,4.0594916,58.428056091213726
initial_test_model_train_1_mae_weighted_all_normed_equal_709,0.0033332953612009,14.988754,20.620928,0.005313135,0.054652630256928
initial_test_model_train_1_mse_all_normed_equal_819,0.0025511717948913,14.399827,25.591928,16.135822,187.82429953987003
initial_test_model_train_1_mae_all_normed_equal_819,0.0025511717948913,2.3031292,26.200848,0.00136536,0.0101929785437489
initial_test_model_train_1_mse_auto_all_normed_equal_819,0.0025511717948913,18.85751,27.992,5.856058,83.55850162585655
initial_test_model_train_1_mae_auto_all_normed_equal_819,0.0025511717948913,19.211573,26.314507,3.3479586,41.85826638009394
initial_test_model_train_1_mse_weighted_all_normed_equal_819,0.0025511717948913,21.657652,24.26719,8.066945,101.35112437896258
initial_test_model_train_1_mae_weighted_all_normed_equal_819,0.0025511717948913,17.367176,22.938206,0.00393507,0.042265204975214
initial_test_model_train_1_mse_norm_independant_26,0.0011961019657907,0.0049580582,0.0034256496,0.0015505616,0.0152065389592393
